banner_id,brand,category,subcategory,banner_format,campaign_goal,target_gender,target_age_min,target_age_max,cpm_bid,quality_score,created_at,is_active,landing_page
b_0001,Pixel,fashion,sportswear,static,awareness,U,40,50,9.4,0.715,2025-12-17,1,https://example.com/fashion/sportswear/pixel-1
b_0002,Orbit,electronics,smartphones,static,app_install,M,21,46,8.52,0.546,2026-03-04,1,https://example.com/electronics/smartphones/orbit-2
b_0003,Aura,entertainment,music,native,purchase,M,30,50,11.72,0.873,2026-02-07,1,https://example.com/entertainment/music/aura-3
b_0004,Orbit,travel,weekend_trips,static,awareness,U,35,55,1.97,0.721,2026-02-19,1,https://example.com/travel/weekend_trips/orbit-4
b_0005,Orbit,home,garden,native,traffic,F,40,60,4.76,0.954,2026-02-18,1,https://example.com/home/garden/orbit-5
b_0006,Fox,fashion,sportswear,static,traffic,M,21,31,9.96,0.717,2026-01-24,1,https://example.com/fashion/sportswear/fox-6
b_0007,Pulse,home,appliances,animated,awareness,M,40,50,3.11,0.772,2026-03-09,1,https://example.com/home/appliances/pulse-7
b_0008,Pixel,food,restaurants,static,traffic,M,40,55,10.02,0.81,2025-10-12,1,https://example.com/food/restaurants/pixel-8
b_0009,Delta,electronics,laptops,static,traffic,M,21,41,9.22,0.674,2025-10-13,1,https://example.com/electronics/laptops/delta-9
b_0010,Fox,home,repair,animated,traffic,M,35,55,10.77,0.881,2026-03-24,1,https://example.com/home/repair/fox-10
b_0011,Citrus,beauty,wellness,animated,purchase,M,30,40,2.74,0.729,2025-12-29,1,https://example.com/beauty/wellness/citrus-11
b_0012,Fox,fashion,casual,static,lead_gen,F,30,55,2.27,0.835,2025-10-08,1,https://example.com/fashion/casual/fox-12
b_0013,Luma,home,garden,native,purchase,M,40,50,9.06,0.974,2025-12-13,1,https://example.com/home/garden/luma-13
b_0014,Aura,sports,cycling,video,awareness,F,30,40,4.76,0.73,2025-11-28,0,https://example.com/sports/cycling/aura-14
b_0015,Aura,finance,wallets,static,purchase,U,25,40,2.68,0.564,2026-02-01,1,https://example.com/finance/wallets/aura-15
b_0016,Aura,food,restaurants,native,purchase,F,30,40,3.11,0.828,2025-12-25,1,https://example.com/food/restaurants/aura-16
b_0017,Vanta,education,school,static,purchase,U,18,43,5.53,0.908,2026-01-22,1,https://example.com/education/school/vanta-17
b_0018,Pulse,sports,running,video,purchase,M,35,60,4.09,0.908,2026-02-04,0,https://example.com/sports/running/pulse-18
b_0019,Pixel,sports,running,static,purchase,F,30,55,9.75,0.69,2026-03-11,1,https://example.com/sports/running/pixel-19
b_0020,Peak,travel,flights,static,app_install,F,18,28,8.35,0.568,2025-11-21,1,https://example.com/travel/flights/peak-20
b_0021,Orbit,electronics,laptops,native,purchase,M,21,41,2.8,0.504,2026-02-21,1,https://example.com/electronics/laptops/orbit-21
b_0022,Pulse,travel,car_rental,video,purchase,F,21,46,8.15,0.846,2026-02-19,1,https://example.com/travel/car_rental/pulse-22
b_0023,Orbit,travel,flights,video,traffic,F,40,50,9.48,0.725,2025-12-31,1,https://example.com/travel/flights/orbit-23
b_0024,Citrus,fashion,sportswear,video,purchase,M,21,36,2.11,0.556,2026-01-11,1,https://example.com/fashion/sportswear/citrus-24
b_0025,Pulse,food,snacks,static,awareness,U,30,40,8.19,0.731,2026-03-03,1,https://example.com/food/snacks/pulse-25
b_0026,Orbit,sports,fitness,native,purchase,M,30,55,9.3,0.811,2026-01-10,1,https://example.com/sports/fitness/orbit-26
b_0027,Pulse,beauty,skincare,animated,purchase,M,30,50,6.87,0.774,2026-02-21,1,https://example.com/beauty/skincare/pulse-27
b_0028,Pulse,sports,football,static,awareness,M,40,50,0.85,0.714,2025-11-24,1,https://example.com/sports/football/pulse-28
b_0029,Mira,electronics,smartphones,animated,purchase,F,18,28,2.97,0.7,2026-03-28,1,https://example.com/electronics/smartphones/mira-29
b_0030,Orbit,fashion,accessories,video,awareness,M,35,50,3.19,0.529,2026-03-03,1,https://example.com/fashion/accessories/orbit-30
b_0031,Orbit,electronics,wearables,animated,app_install,F,25,40,3.74,0.644,2025-12-18,1,https://example.com/electronics/wearables/orbit-31
b_0032,Luma,education,coding,animated,lead_gen,M,25,35,6.91,0.884,2026-01-28,1,https://example.com/education/coding/luma-32
b_0033,Orbit,entertainment,events,static,awareness,M,25,35,8.14,0.699,2025-12-15,1,https://example.com/entertainment/events/orbit-33
